id,nombre,tipo,tipo_normalizado,nom_mapa,sede,direccion,telefono,e_mail,facebook,web,actividades,instalaciones,calle,altura,direccion_normalizada,barrio,comuna,long,lat
118,ASOCIACION CIRCULO ITALO ARGENTINO LIBER PIEMONT,CLUB DE BARRIO,club_de_barrio,Asociacion Circulo Italo Argentino Liber Piemont,UNICA,Gral. Manuel Rodriguez 1191,4581-5189,,,,"Yoga, artes marciales, tango, billar, gimnasia, danzas clásicas, clases de tango y folklore. Actividades culturales.",cancha - salones - biblioteca,"RODRIGUEZ, MANUEL A., GENERAL",1191,"RODRIGUEZ, MANUEL A., GENERAL 1191",Caballito,Comuna 6,-58.448289,-34.607685
65,ASOCIACION CIVIL CLUB ATLETICO SOCIAL Y DEPORTIVO DEFENSORES DE OBRA SOCIAL FERROVIARIA DOSFE,CLUB DE BARRIO,club_de_barrio,Asociacion Civil Club Atletico Social Y Deportivo Defensores De Obra Social Ferroviaria Dosfe,UNICA,Reservistas Argentinos 195,4641-2455,,,,"Fútbol, voley, bochas, ajedrez.",,RESERVISTAS ARGENTINOS,195,RESERVISTAS ARGENTINOS 195,Liniers,Comuna 9,-58.521336,-34.637176
13,ASOCIACION CIVIL CLUB HIPICO BUENOS AIRES,CLUB DE BARRIO,club_de_barrio,Asociacion Civil Club Hipico Buenos Aires,UNICA,"Figueroa Alcorta 4800 esquina Belisario Roldán, enfrente del viejo Velódromo (hoy el Club CUBA)",4777-1222,clubhipicobsas@hotmail.com,,,hipismo - escuela de equitacion desde 6 años hasta adolescentes - equinoterapia,1 salon - 2 pistas de hipismo,"FIGUEROA ALCORTA, PRES. AV.",4800,"FIGUEROA ALCORTA, PRES. AV. 4800",Palermo,Comuna 14,-58.415532,-34.569093
216,ASOCIACION CIVIL CLUB SOCIAL Y CULTURAL MIRAFLORES,CLUB DE BARRIO,club_de_barrio,Asociacion Civil Club Social Y Cultural Miraflores,,Somellera 1770,4382-5931,,,,"baby, futsal, patin, natacion, tenis",1 salon - 1 cancha - cancha de tenis,SOMELLERA,1770,SOMELLERA 1770,Parque Chacabuco,Comuna 7,-58.436806,-34.644058
287,"ASOCIACION CIVIL DE AYUDA, RECREATIVA Y POLIDEPORTIVA 17 DE NOVIEMBRE",CLUB DE BARRIO,club_de_barrio,"Asociacion Civil De Ayuda, Recreativa Y Polideportiva 17 De Noviembre",,Calle 4 y 5  Villa 31,,poli_31@hotmail.com,,,"baby, basket, voley",1 cancha,perette carlos,,"PERETTE, CARLOS H. y WALSH, RODOLFO",Retiro,Comuna 1,-58.375532,-34.584277
55,ASOCIACION CIVIL DE VECINOS FLORENTINO AMEGHINO (AVEFA),CLUB DE BARRIO,club_de_barrio,Asociacion Civil De Vecinos Florentino Ameghino (Avefa),UNICA,Independencia 4246,4922-2501 a partir de las 17 hs hasta las 24 hs,,SOYDEADEFA,,"Baby, futsal, yoga. Actividades culturales.",cancha - biblioteca,INDEPENDENCIA AV.,4246,INDEPENDENCIA AV. 4246,Boedo,Comuna 5,-58.425973,-34.621898
292,ASOCIACIÓN CIVIL LA CULTURA DEL BARRIO,CLUB DE BARRIO,club_de_barrio,Asociación Civil La Cultura Del Barrio,UNICA,Murillo 957,2053-9867,boxeo.lcdb@gmail.com,,,"Taekwondo, boxeo, kick boxing, yoga, muay thai, Jiu jitsu, gimnasia funcional, ping pong.",,Murillo ,957,MURILLO 957,Villa Crespo,Comuna 15,-58.446179,-34.598391
291,ASOCIACION CIVIL MANO A MANO,CLUB DE BARRIO,club_de_barrio,Asociacion Civil Mano A Mano,UNICA,Bahía Blanca 105,4674-6262,asociacioncivil_manoamano@yahoo.com.ar,,,Baby futbol (recreativo y competitivo) niños y niñas de 4 a 13 años - Fútbol Femenino para mujeres a partir de los 17 años - Gimnasia recreativa infantil niños y niñas de 4 a 8 años,,Bahía Blanca,105,BAHIA BLANCA 105,Floresta,Comuna 10,-58.480982,-34.632039
194,ASOCIACION CIVIL OLIMPIA FUTBOL CLUB DE LA CIUDAD DE BUENOS AIRES,CLUB DE BARRIO,club_de_barrio,Asociacion Civil Olimpia Futbol Club De La Ciudad De Buenos Aires,,Tacuari 773,4307-163,,,,,,TACUARI,773,TACUARI 773,Monserrat,Comuna 1,-58.378838,-34.617144
198,"ASOCIACION CIVIL SARANDI SOCIAL, CULTURAL Y DEPORTIVA",CLUB DE BARRIO,club_de_barrio,"Asociacion Civil Sarandi Social, Cultural Y Deportiva",,Sarandi 1477,4308-0822,,,,"fútbol, voley, handbol, basquet",1 cancha,SARANDI,1477,SARANDI 1477,San Cristobal,Comuna 3,-58.393405,-34.626211
273,ASOCIACION CIVIL SIN FINES DE LUCRO GOLF CLUB LAGOS DE PALERMO,CLUB,club,Asociacion Civil Sin Fines De Lucro Golf Club Lagos De Palermo,,Av. Tornquist 6397,4774-5108,,,,golf,campo de golf,"TORNQUIST, ERNESTO AV.",6397,"TORNQUIST, ERNESTO AV. 6397",Palermo,Comuna 14,-58.435466,-34.555834
54,ASOCIACION CIVIL SOCIEDAD DE FOMENTO Y CULTURA MALVINAS ARGENTINAS,CLUB DE BARRIO,club_de_barrio,Asociacion Civil Sociedad De Fomento Y Cultura Malvinas Argentinas,UNICA,Eva Peron 1930,4923-1887,,,,"Taekwondo, ajedrez, yoga, actividades para jubilados, bachata, salsa, folklore. Actividades culturales.",biblioteca - 3 salones,"PERON, EVA AV.",1930,"PERON, EVA AV. 1930",Parque Chacabuco,Comuna 7,-58.449785,-34.636524
210,ASOCIACION CIVIL Y DEPORTIVA EL BARRIO,CLUB DE BARRIO,club_de_barrio,Asociacion Civil Y Deportiva El Barrio,,Constitucion 4253,4924-9291,,,,"baby, patin, voley, karate, murga, handbol",1 cancha - 1 salon,CONSTITUCION,4253,CONSTITUCION 4253,Boedo,Comuna 5,-58.424321,-34.629082
200,ASOCIACION CLUB ATLETICO BARRACAS CENTRAL,CLUB,club,Asociacion Club Atletico Barracas Central,,Luna 1211,4301-5855,info@barracascentral.com,,,"patin, voley, handbol, gimnasia deportiva, fútbol",cancha - salones - gimnasio,LUNA,1211,LUNA 1211,Barracas,Comuna 4,-58.396297,-34.647090
233,ASOCIACION CLUB ATLETICO IGUAZU,CLUB DE BARRIO,club_de_barrio,Asociacion Club Atletico Iguazu,,San Blas 4225,4639-5969,,,,baby (se realiza en el polideportivo Pomar),1 salon.,SAN BLAS,4225,SAN BLAS 4225,Floresta,Comuna 10,-58.495527,-34.620853
179,ASOCIACION CRISTIANA DE JOVENES DE LA REPUBLICA ARGENTINA,CLUB,club,Asociacion Cristiana De Jovenes De La Republica Argentina,ANEXO SEDE PARQUE,Av. Lafuente 2480,4918-3244,ymca@ymca.org.ar,YMCA Argentina,www.ymca.org.ar,"Fútbol (masculino y femenino), Básquet (masculino y femenino), Voley (masculino y femenino), Gimnasio de pesas, Gimnasio boutique, Escuela de natación (jóvenes y adultos), Pileta libre, Pista aeróbica, Aikido, Buceo, Escalada en roca, Karate, Kendo, Plataforma vibratoria, Rehabilitación cardiovascular, Tai Chi Chuan, Bicicleta, Pilates y Fitness (Localizada, Ritmos, Stretching, Box recreativo, YMCA Water, YMCA Dance, Aquagym, Aquamoving, Aquafitness, FyR 60', Local Stretch, Local Latin, Express stretchting, Express ABS, Espalda saludable, Yoga, Y circuit, Y functional, Y mix dance, Local cycle, Hatha Yoga, Power Yoga, Kick Boxing, Muay Thai, Running team, Aerolocal y Acuática). Colonia de vacaciones",3 gimnasios - 2 natatorios - 2 canchas - 3 salones,LAFUENTE AV.,2480,LAFUENTE AV. 2480,Villa Soldati,Comuna 8,-58.445876,-34.657045
178,ASOCIACION CRISTIANA DE JOVENES DE LA REPUBLICA ARGENTINA,CLUB,club,Asociacion Cristiana De Jovenes De La Republica Argentina,CENTRAL,Reconquista 439,4311-4785,ymca@ymca.org.ar,YMCA Argentina,www.ymca.org.ar,"Natacion, fútbol, voley, basquet, cursos de buceo, gimnasia, curso de guardavida, pesas, folklore, tango, golf en microcentro, escalada en roca. Colonia de vacaciones.",3 gimnasios - 2 natatorios - 2 canchas - 3 salones,RECONQUISTA,439,RECONQUISTA 439,San Nicolas,Comuna 1,-58.372462,-34.602651
275,ASOCIACION CULTURAL Y DEPORTIVA BARKOJBA,CLUB,club,Asociacion Cultural Y Deportiva Barkojba,SEDE ADMINISTRATIVA CAPITAL - PREDIO DEPORTIVO EN MORENO,Av. Córdoba 3621 1º B,4862-6204,administracion@barkojba.com,,www.barkojba.com,"futsal, gimnasia, fútbol 11, tenis, hockey,",3 canchas - 2 salones - 1 natatorio,CORDOBA AV.,3621,CORDOBA AV. 3621,Palermo,Comuna 14,-58.417815,-34.597726
260,ASOCIACION CULTURAL Y DEPORTIVA ESTRELLA,CLUB DE BARRIO,club_de_barrio,Asociacion Cultural Y Deportiva Estrella,,Superi 4437,S/T,,,,"gimnasia, ceramica",gimnasio  - biblioteca,SUPERI,4437,SUPERI 4437,Saavedra,Comuna 12,-58.482998,-34.547467
224,ASOCIACION DE FOMENTO CORVALAN Y BIBLIOTECA POPULAR EMILIO CASTRO ANEXO ALFONSINA STORNI,CLUB DE BARRIO,club_de_barrio,Asociacion De Fomento Corvalan Y Biblioteca Popular Emilio Castro Anexo Alfonsina Storni,,Tapalque 5147,4635-4218,clubcorvalan@yahoo.com.ar  -  deportecorvalan@hotmail.com,,,"baby, patin, artes marciales",1 cancha - 1 gimnasio - 1 salon,TAPALQUE,5147,TAPALQUE 5147,Mataderos,Comuna 9,-58.494668,-34.648620
225,ASOCIACION DE FOMENTO EDILICIA Y CULTURAL CORONEL CARDENAS,CLUB,club,Asociacion De Fomento Edilicia Y Cultural Coronel Cardenas,,Cardenas 2910,4686-3465,,,,"baby, fútbol femenino, fútbol, patin, danza, tango, folklore, danzas arabes",2 natatorios - 1 cancha - 3 salones,"CARDENAS, CNEL. AV.",2910,"CARDENAS, CNEL. AV. 2910",Mataderos,Comuna 9,-58.500352,-34.669615
18,ASOCIACION DE FOMENTO JOSE SOLDATI,CLUB DE BARRIO,club_de_barrio,Asociacion De Fomento Jose Soldati,UNICA,Av. La Fuente 2931,4918-6132,soldatijose@hotmail.com.ar,,,"Baby fútbol, patin artistico y competitivo, acrobacia con telas, Chaiu-Do-Kwan.",cancha - salon,LAFUENTE,2931,LAFUENTE 2931,Villa Soldati,Comuna 8,-58.441381,-34.660747
276,ASOCIACION DE FOMENTO PARQUE CHAS,CLUB DE BARRIO,club_de_barrio,Asociacion De Fomento Parque Chas,,Bauness 1486,4523-2981,,,,"yoga, baby, gimnasia, tango, patin",,BAUNESS,1486,BAUNESS 1486,Parque Chas,Comuna 15,-58.480127,-34.584190
293,ASOCIACIÓN DE FOMENTO PARQUE CHAS,CLUB DE BARRIO,club_de_barrio,Asociación De Fomento Parque Chas,DEPORTIVA,Gándara 2840,4524-7926,,A F Parque Chas Equipo Deportivo,www.afparquechas.com.ar,"Fútbol, yoga, baby, gimnasia, tango, patin, artes marciales",,Gandara,2840,GANDARA 2840,Parque Chas,Comuna 15,-58.481020,-34.583324
294,ASOCIACIÓN ESPAÑOLA DE SOCORROS MUTUOS DE SAN JOSÉ DE FLORES,CLUB DE BARRIO,club_de_barrio,Asociación Española De Socorros Mutuos De San José De Flores,UNICA,Pedernera 143,4637-7730,aedsmdsjdf@gmail.com,,,"Fútbol, pelota paleta, baby, taekwondo, kobu do, yoga, karate, taichichuan. Gimnasia rítmica.",,PEDERNERA,143,PEDERNERA 143,Flores,Comuna 7,-58.463447,-34.630963
66,ASOCIACION SCHOLEM ALEIJEM,CLUB,club,Asociacion Scholem Aleijem,SEDE DEPORTIVA (TIENE DOS ANEXOS EN PROVINCIA),Maturin  2455,4582-5719,administracion@sholem.org.ar,,www.sholem.org.ar,"Voley masculino y femenino, basket masculino, fútbol de campo, fútbol de salón, gimnasia deportiva, taekwondo.",salones - canchas,MATURIN,2455,MATURIN 2455,Paternal,Comuna 15,-58.461145,-34.599874
254,ASOCIACION URQUIZA TENIS CLUB (ANTES ASOCIACION CLUB ATLETICO URQUIZA),CLUB,club,Asociacion Urquiza Tenis Club (Antes Asociacion Club Atletico Urquiza),,Caracas 4935,4573-3501,utc@fibertel.com.ar,,,"tenis, karate, bochas","1 cancha de bochas, 1 de fútbol 5, 1 salon, natatorio, 5 canchas de tenis  (4 de polvo de ladrillo y una de cemento)",CARACAS,4935,CARACAS 4935,Villa Pueyrredon,Comuna 12,-58.497221,-34.580001
253,ASOCIACION VECINAL DE FOMENTO Y CULTURA SANTA RITA,CLUB DE BARRIO,club_de_barrio,Asociacion Vecinal De Fomento Y Cultura Santa Rita,UNICA,San Blas 2842,4584-4874,,,,"Artes Marciales, gimnasia jazz, danzas, juegos de mesa",,SAN BLAS,2842,SAN BLAS 2842,Villa Santa Rita,Comuna 11,-58.480637,-34.611045
255,ASOCIACION VECINAL LOMAS DE SAAVEDRA,CLUB DE BARRIO,club_de_barrio,Asociacion Vecinal Lomas De Saavedra,,Pico 3540,4541-0777,,,,artes marciales,1 cancha - 1 salon,PICO,3540,PICO 3540,Saavedra,Comuna 12,-58.485407,-34.544998
256,ASOCIACION VECINAL PRO-FOMENTO DE SAAVEDRA Y BIBLIOTECA POPULAR (El Pañuelito),CLUB DE BARRIO,club_de_barrio,Asociacion Vecinal Pro-Fomento De Saavedra Y Biblioteca Popular (El Pañuelito),,Jaramillo 3446,4541-2810 / 4543-2119,,,,"baby, basket, voley, gimnasia (musculacion)",1 cancha 20x14 descubierta - 1 salon,JARAMILLO,3446,JARAMILLO 3446,Saavedra,Comuna 12,-58.478179,-34.553020
143,"ASOCIACION VECINAL VILLA GENERAL MITRE, BIBLIOTECA POPULAR CIENCIA Y LABOR",CLUB DE BARRIO,club_de_barrio,"Asociacion Vecinal Villa General Mitre, Biblioteca Popular Ciencia Y Labor",UNICA,Gral. Cesar Diaz 2451,4582-9779,cienciaylabor@gmail.com,Biblioteca Ciencia y Labor - Pagina Oficial Club social,,"Baby, taekwondo, salsa, tango, folklore, ritmos latinos, danza jazz, patin, fútbol femenino. Actividades culturales.",1 cancha y 2 salones,"DIAZ, CESAR, GRAL.",2451,"DIAZ, CESAR, GRAL. 2451",Villa Gral. Mitre,Comuna 11,-58.473381,-34.611388
81,ATENEO POPULAR VERSAILLES,CLUB DE BARRIO,club_de_barrio,Ateneo Popular Versailles,UNICA,Roma 950,4641-0112,nuevoapv@yahoo.com.ar,,www.ateneoversailles.com.ar,"Baby, voley, gimnasia, artes marciales, danza, cestobal, natación, tenis, boxeo.",biblioteca - natatorios - canchas - salones,ROMA,950,ROMA 950,Versalles,Comuna 10,-58.522419,-34.625815
87,ATLANTA,CLUB,club,Atlanta,UNICA,Humboldt 374,4856-5999,club_atlanta@hotmail.com,,,"Baby fútbol, futsal, boxeo, artes marciales, musculacion, patin, fútbol 11, voley, basquet.",natatorios - salones - canchas - bibliotecas,HUMBOLDT,374,HUMBOLDT 374,Villa Crespo,Comuna 15,-58.448574,-34.595312
174,ATLETICO HURACAN,CLUB,club,Atletico Huracan,ANEXO 2  LA QUEMITA,Mariano Acosta 1981,4637-6395,,Club Atletico Huracan,www.cahuracan.com,"Taekwondo, voley, patin, basket, futsal, boxeo, gimnasia aerobica y artistica, handbol, hockey (sobre cesped - sobre patines), tango, natacion, fútbol profesional y fútbol amateur. Actividades culturales. Colonia de vacaciones.","La Quemita, cuenta con 8 canchas de fútbol, en las cuales entrenan el primer equipo y las divisiones inferiores, que también juegan sus partidos de local allí. Entre otras instalaciones, se encuentran: una cancha de hockey sobre césped, cancha de tenis de cemento, cancha de vóley, dos piletas de natación, mesas, parrillas, quinchos y un amplio estacionamiento para 150 vehículos. El campo de deportes se encuentra abierto todos los días de la semana a partir de las 9 hs. Los socios de Huracán ingresan sin cargo. ","ACOSTA, MARIANO",1981,"ACOSTA, MARIANO 1981",Flores,Comuna 7,-58.461059,-34.650940
173,ATLETICO HURACAN,CLUB,club,Atletico Huracan,ANEXO 1 ESTADIO DUCO,Amancio Alcorta 2570,4942-1965,,Club Atletico Huracan,www.cahuracan.com,"Taekwondo, voley, patin, basket, futsal, boxeo, gimnasia aerobica y artistica, handbol, hockey (sobre cesped - sobre patines), tango, natacion, fútbol profesional y fútbol amateur. Actividades culturales. Colonia de vacaciones.","Estadio Tomas A. Ducó, llamado así por quien fue el impulsor de su construcción, fue declarado por la Legislatura como Patrimonio Histórico y de Defensa Estructural de la Ciudad de Buenos Aires, en el año 2007 bajo el número de expediente 62.548. // Capacidad: 48.314 espectadores // Dimensiones: 105 mts x 70 mts
","ALCORTA, AMANCIO AV.",2570,"ALCORTA, AMANCIO AV. 2570",Parque Patricios,Comuna 4,-58.396867,-34.642945
172,ATLETICO HURACAN,CLUB,club,Atletico Huracan,CENTRAL SEDE SOCIAL,Avda. Caseros 3159,4911-9313/4719/6713,,Club Atletico Huracan,www.cahuracan.com,"Taekwondo, voley, patin, basket, futsal, boxeo, gimnasia aerobica y artistica, handbol, hockey (sobre cesped - sobre patines), tango, natacion, fútbol profesional y fútbol amateur. Actividades culturales. Colonia de vacaciones.",,CASEROS AV.,3159,CASEROS AV. 3159,Parque Patricios,Comuna 4,-58.408140,-34.637477
